model,shots,degradation,seed,accuracy,f1,train_time_sec,num_params
small_cnn,5,none,42,0.31777777777777777,0.2921769222877555,1.4,549290
small_cnn,5,none,123,0.25722222222222224,0.2497280992505862,0.4,549290
small_cnn,5,none,7,0.30333333333333334,0.26122169108499815,0.4,549290
small_cnn,5,none,2024,0.2577777777777778,0.24576000355515673,0.4,549290
small_cnn,5,none,99,0.31037037037037035,0.2693412509860034,0.4,549290
small_cnn,5,none,17,0.3424074074074074,0.3250690607802429,0.4,549290
small_cnn,5,none,256,0.31555555555555553,0.28636194137743887,0.4,549290
small_cnn,5,none,512,0.3101851851851852,0.2802635517579745,0.4,549290
small_cnn,5,none,88,0.2562962962962963,0.24941076242841417,0.4,549290
small_cnn,5,none,314,0.2898148148148148,0.2664196520474334,0.4,549290
small_cnn,5,moderate,42,0.27166666666666667,0.2328152019830692,0.5,549290
small_cnn,5,moderate,123,0.2687037037037037,0.2446034045107291,0.5,549290
small_cnn,5,moderate,7,0.33685185185185185,0.30159398897057316,0.5,549290
small_cnn,5,moderate,2024,0.26722222222222225,0.2563924205028627,0.5,549290
small_cnn,5,moderate,99,0.2859259259259259,0.2553701215977308,0.5,549290
small_cnn,5,moderate,17,0.31685185185185183,0.2974663334024323,0.5,549290
small_cnn,5,moderate,256,0.2659259259259259,0.22137919274082907,0.5,549290
small_cnn,5,moderate,512,0.2735185185185185,0.263471038142177,0.5,549290
small_cnn,5,moderate,88,0.24462962962962964,0.22337618537388285,0.5,549290
small_cnn,5,moderate,314,0.2788888888888889,0.23253404613498802,0.5,549290
small_cnn,5,severe,42,0.25833333333333336,0.22964068052251146,0.5,549290
small_cnn,5,severe,123,0.26166666666666666,0.23358361030586278,0.5,549290
small_cnn,5,severe,7,0.3251851851851852,0.30655209821954255,0.5,549290
small_cnn,5,severe,2024,0.2683333333333333,0.24378423879870667,0.5,549290
small_cnn,5,severe,99,0.272037037037037,0.24256881666110316,0.5,549290
small_cnn,5,severe,17,0.3061111111111111,0.27713844003445753,0.5,549290
small_cnn,5,severe,256,0.27425925925925926,0.2501679528095711,0.5,549290
small_cnn,5,severe,512,0.26222222222222225,0.2536411946247245,0.5,549290
small_cnn,5,severe,88,0.26685185185185184,0.24521091758283955,0.5,549290
small_cnn,5,severe,314,0.287962962962963,0.2374651903788502,0.5,549290
small_cnn,10,none,42,0.30944444444444447,0.251517150649849,0.6,549290
small_cnn,10,none,123,0.3016666666666667,0.27298191598077926,0.6,549290
small_cnn,10,none,7,0.3540740740740741,0.30986267842389453,0.6,549290
small_cnn,10,none,2024,0.36833333333333335,0.35152294939752066,0.6,549290
small_cnn,10,none,99,0.2924074074074074,0.27893965179847324,0.6,549290
small_cnn,10,none,17,0.3675925925925926,0.3325468791818108,0.6,549290
small_cnn,10,none,256,0.3896296296296296,0.35061800044912067,0.6,549290
small_cnn,10,none,512,0.3424074074074074,0.3011128072514522,0.6,549290
small_cnn,10,none,88,0.31925925925925924,0.3053929646251802,0.6,549290
small_cnn,10,none,314,0.3648148148148148,0.32590450094615897,0.6,549290
small_cnn,10,moderate,42,0.3385185185185185,0.31630150943911084,0.8,549290
small_cnn,10,moderate,123,0.37833333333333335,0.32982045051632014,0.8,549290
small_cnn,10,moderate,7,0.35814814814814816,0.30212126211044515,0.8,549290
small_cnn,10,moderate,2024,0.3251851851851852,0.2934512723141906,0.8,549290
small_cnn,10,moderate,99,0.30203703703703705,0.27439429823801414,0.7,549290
small_cnn,10,moderate,17,0.3512962962962963,0.3569428907407078,0.8,549290
small_cnn,10,moderate,256,0.36407407407407405,0.3304738159983171,0.8,549290
small_cnn,10,moderate,512,0.3724074074074074,0.32450976741414184,0.8,549290
small_cnn,10,moderate,88,0.395,0.36901410965398374,0.8,549290
small_cnn,10,moderate,314,0.36592592592592593,0.31861482559598836,0.8,549290
small_cnn,10,severe,42,0.33796296296296297,0.31972344988268137,0.8,549290
small_cnn,10,severe,123,0.3409259259259259,0.28830331942783316,0.8,549290
small_cnn,10,severe,7,0.34574074074074074,0.30029552436797513,0.8,549290
small_cnn,10,severe,2024,0.31092592592592594,0.26318037390650084,0.8,549290
small_cnn,10,severe,99,0.2890740740740741,0.2738688005704887,0.8,549290
small_cnn,10,severe,17,0.3461111111111111,0.34509577982129447,0.8,549290
small_cnn,10,severe,256,0.34814814814814815,0.3125751137826725,0.8,549290
small_cnn,10,severe,512,0.3401851851851852,0.29860542944865354,0.8,549290
small_cnn,10,severe,88,0.31222222222222223,0.28561932152668756,0.8,549290
small_cnn,10,severe,314,0.30092592592592593,0.2577804078837911,0.8,549290
small_cnn,50,none,42,0.49592592592592594,0.48442657645492454,1.2,549290
small_cnn,50,none,123,0.5375925925925926,0.5277516112359651,1.2,549290
small_cnn,50,none,7,0.5494444444444444,0.5334038286109298,1.3,549290
small_cnn,50,none,2024,0.5774074074074074,0.5698074105744544,1.2,549290
small_cnn,50,none,99,0.5472222222222223,0.5336796809668811,1.4,549290
small_cnn,50,none,17,0.5368518518518518,0.5300193431028436,1.2,549290
small_cnn,50,none,256,0.5611111111111111,0.535367573114376,1.2,549290
small_cnn,50,none,512,0.5375925925925926,0.5303605681243125,1.2,549290
small_cnn,50,none,88,0.5444444444444444,0.5342693885886332,1.2,549290
small_cnn,50,none,314,0.5781481481481482,0.5636998562168766,1.2,549290
small_cnn,50,moderate,42,0.5733333333333334,0.5541821283246593,1.6,549290
small_cnn,50,moderate,123,0.5098148148148148,0.47404698251317845,1.6,549290
