model,shots,degradation,n_seeds,accuracy_mean,accuracy_std,f1_mean,f1_std
mobilenet,10,moderate,10,0.6588,0.0406,0.6402,0.0405
mobilenet,10,none,10,0.6194,0.0451,0.5991,0.0486
mobilenet,10,severe,10,0.6289,0.0258,0.616,0.0254
mobilenet,5,moderate,10,0.6292,0.0229,0.6069,0.0274
mobilenet,5,none,10,0.6071,0.0478,0.571,0.0599
mobilenet,5,severe,10,0.5727,0.0235,0.5603,0.0251
mobilenet,50,moderate,10,0.8556,0.015,0.851,0.0151
mobilenet,50,none,10,0.8639,0.0207,0.8595,0.0211
mobilenet,50,severe,10,0.8147,0.0157,0.8103,0.0151
mobilenet,full,moderate,10,0.9681,0.003,0.9671,0.0031
mobilenet,full,none,10,0.9663,0.0044,0.9654,0.004
mobilenet,full,severe,10,0.9588,0.0061,0.9578,0.0062
small_cnn,10,moderate,10,0.3551,0.0258,0.3216,0.0266
small_cnn,10,none,10,0.341,0.0315,0.308,0.0315
small_cnn,10,severe,10,0.3272,0.0206,0.2945,0.0254
small_cnn,5,moderate,10,0.281,0.0254,0.2529,0.0269
small_cnn,5,none,10,0.2961,0.0284,0.2726,0.0231
small_cnn,5,severe,10,0.2783,0.0207,0.252,0.0221
small_cnn,50,moderate,10,0.5352,0.0259,0.5183,0.0313
small_cnn,50,none,10,0.5466,0.0223,0.5343,0.0217
small_cnn,50,severe,10,0.4953,0.0404,0.483,0.0475
small_cnn,full,moderate,10,0.827,0.0078,0.8209,0.0079
small_cnn,full,none,10,0.8371,0.0227,0.8316,0.0228
small_cnn,full,severe,10,0.7967,0.0086,0.79,0.0096
vit,10,moderate,10,0.4544,0.028,0.4294,0.0314
vit,10,none,10,0.4348,0.043,0.406,0.0494
vit,10,severe,10,0.4466,0.0325,0.417,0.0426
vit,5,moderate,10,0.4346,0.0545,0.4066,0.0513
vit,5,none,10,0.4359,0.0573,0.4158,0.0586
vit,5,severe,10,0.4117,0.034,0.3848,0.0414
vit,50,moderate,10,0.6716,0.0444,0.6585,0.0445
vit,50,none,10,0.6769,0.0313,0.6613,0.0371
vit,50,severe,10,0.6581,0.0316,0.6456,0.0342
vit,full,moderate,10,0.9407,0.0071,0.9385,0.0073
vit,full,none,10,0.9346,0.0077,0.9324,0.0078
vit,full,severe,10,0.9184,0.0117,0.9158,0.0115
