model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,5,none,none,42,0.001,0.31425925925925924,0.2879844836953822,1.4,549290
small_cnn,5,none,moderate,42,0.001,0.31222222222222223,0.28102956277747004,1.4,549290
small_cnn,5,none,severe,42,0.001,0.2859259259259259,0.23773220995015984,1.4,549290
small_cnn,5,none,none,123,0.001,0.2674074074074074,0.24139746819101887,0.4,549290
small_cnn,5,none,moderate,123,0.001,0.2490740740740741,0.22588386351480677,0.4,549290
small_cnn,5,none,severe,123,0.001,0.2175925925925926,0.18440569523077824,0.4,549290
small_cnn,5,none,none,7,0.001,0.2896296296296296,0.23732064152452126,0.4,549290
small_cnn,5,none,moderate,7,0.001,0.2633333333333333,0.21876199541801059,0.4,549290
small_cnn,5,none,severe,7,0.001,0.17851851851851852,0.13202695763059963,0.4,549290
small_cnn,5,none,none,2024,0.001,0.25703703703703706,0.23579178264270378,0.4,549290
small_cnn,5,none,moderate,2024,0.001,0.24666666666666667,0.23043896983524514,0.4,549290
small_cnn,5,none,severe,2024,0.001,0.19722222222222222,0.18160354661546085,0.4,549290
small_cnn,5,none,none,99,0.001,0.3075925925925926,0.2638922085726464,0.4,549290
small_cnn,5,none,moderate,99,0.001,0.3101851851851852,0.26699379790864725,0.4,549290
small_cnn,5,none,severe,99,0.001,0.262037037037037,0.23254260560719545,0.4,549290
small_cnn,5,none,none,17,0.001,0.3548148148148148,0.3445461883110901,0.4,549290
small_cnn,5,none,moderate,17,0.001,0.3590740740740741,0.3455574330306562,0.4,549290
small_cnn,5,none,severe,17,0.001,0.3296296296296296,0.3078444424428677,0.4,549290
small_cnn,5,none,none,256,0.001,0.3125925925925926,0.28687153121379727,0.4,549290
small_cnn,5,none,moderate,256,0.001,0.27444444444444444,0.2537578367066009,0.4,549290
small_cnn,5,none,severe,256,0.001,0.24481481481481482,0.20496621374563148,0.4,549290
small_cnn,5,none,none,512,0.001,0.31,0.28168907014716416,0.4,549290
small_cnn,5,none,moderate,512,0.001,0.24388888888888888,0.2216207302192339,0.4,549290
small_cnn,5,none,severe,512,0.001,0.1724074074074074,0.12939224605549265,0.4,549290
small_cnn,5,none,none,88,0.001,0.23814814814814814,0.22847551088082696,0.4,549290
small_cnn,5,none,moderate,88,0.001,0.21611111111111111,0.2076046277503313,0.4,549290
small_cnn,5,none,severe,88,0.001,0.1935185185185185,0.17655114605773045,0.4,549290
small_cnn,5,none,none,314,0.001,0.28185185185185185,0.264809230129853,0.4,549290
small_cnn,5,none,moderate,314,0.001,0.28444444444444444,0.27124930065818054,0.4,549290
small_cnn,5,none,severe,314,0.001,0.2311111111111111,0.21341144272313173,0.4,549290
small_cnn,5,moderate,none,42,0.001,0.27314814814814814,0.23825559683744973,0.5,549290
small_cnn,5,moderate,moderate,42,0.001,0.2690740740740741,0.23048393066580294,0.5,549290
small_cnn,5,moderate,severe,42,0.001,0.25981481481481483,0.2228500211775643,0.5,549290
small_cnn,5,moderate,none,123,0.001,0.28574074074074074,0.2600416813668223,0.5,549290
small_cnn,5,moderate,moderate,123,0.001,0.2825925925925926,0.2590864365242579,0.5,549290
small_cnn,5,moderate,severe,123,0.001,0.2607407407407407,0.24455273646321157,0.5,549290
small_cnn,5,moderate,none,7,0.001,0.3438888888888889,0.3176841794692481,0.5,549290
small_cnn,5,moderate,moderate,7,0.001,0.3509259259259259,0.32393006572142796,0.5,549290
small_cnn,5,moderate,severe,7,0.001,0.3025925925925926,0.28570181721580246,0.5,549290
small_cnn,5,moderate,none,2024,0.001,0.277037037037037,0.26062581922448563,0.5,549290
small_cnn,5,moderate,moderate,2024,0.001,0.26851851851851855,0.25888611385203475,0.5,549290
small_cnn,5,moderate,severe,2024,0.001,0.19148148148148147,0.19221345593220351,0.5,549290
small_cnn,5,moderate,none,99,0.001,0.2683333333333333,0.2421465728450531,0.5,549290
small_cnn,5,moderate,moderate,99,0.001,0.2733333333333333,0.24909356139333733,0.5,549290
small_cnn,5,moderate,severe,99,0.001,0.26981481481481484,0.25058845345136743,0.5,549290
small_cnn,5,moderate,none,17,0.001,0.28296296296296297,0.2665404361300103,0.5,549290
small_cnn,5,moderate,moderate,17,0.001,0.2898148148148148,0.2725777332069709,0.5,549290
small_cnn,5,moderate,severe,17,0.001,0.30777777777777776,0.28743207853314656,0.5,549290
small_cnn,5,moderate,none,256,0.001,0.2959259259259259,0.24493786732459655,0.5,549290
small_cnn,5,moderate,moderate,256,0.001,0.27185185185185184,0.23090454244328001,0.5,549290
small_cnn,5,moderate,severe,256,0.001,0.19333333333333333,0.1469522346626498,0.5,549290
small_cnn,5,moderate,none,512,0.001,0.28,0.25364629730286353,0.5,549290
small_cnn,5,moderate,moderate,512,0.001,0.2701851851851852,0.2495593613778393,0.5,549290
small_cnn,5,moderate,severe,512,0.001,0.20037037037037037,0.17313978928999935,0.5,549290
