model,shots,degradation,seed,lr,accuracy,f1,train_time_sec,num_params
mobilenet,5,none,42,0.0001,0.5014814814814815,0.47541180360421353,3.6,2236682
mobilenet,5,none,123,0.0001,0.49962962962962965,0.4587073868942693,2.4,2236682
mobilenet,5,none,7,0.0001,0.4546296296296296,0.42517727123538884,2.4,2236682
mobilenet,5,none,2024,0.0001,0.48277777777777775,0.4473213080174946,2.4,2236682
mobilenet,5,none,99,0.0001,0.4648148148148148,0.4380699492208235,2.4,2236682
mobilenet,5,none,17,0.0001,0.445,0.4090804274179217,2.4,2236682
mobilenet,5,none,256,0.0001,0.5014814814814815,0.45896240722690795,2.4,2236682
mobilenet,5,none,512,0.0001,0.5118518518518519,0.47629568854891324,2.4,2236682
mobilenet,5,none,88,0.0001,0.5231481481481481,0.491048532958364,2.4,2236682
mobilenet,5,none,314,0.0001,0.5116666666666667,0.5016998246798169,2.4,2236682
mobilenet,5,moderate,42,0.0001,0.6101851851851852,0.5936867124706997,3.1,2236682
mobilenet,5,moderate,123,0.0001,0.6203703703703703,0.5976451081891005,3.2,2236682
mobilenet,5,moderate,7,0.0001,0.5944444444444444,0.5762314418977877,3.1,2236682
mobilenet,5,moderate,2024,0.0001,0.5874074074074074,0.5729168492372153,3.2,2236682
mobilenet,5,moderate,99,0.0001,0.6116666666666667,0.5905922842106833,3.1,2236682
mobilenet,5,moderate,17,0.0001,0.6025925925925926,0.5802371028979457,3.1,2236682
mobilenet,5,moderate,256,0.0001,0.6177777777777778,0.606003776667367,3.1,2236682
mobilenet,5,moderate,512,0.0001,0.6072222222222222,0.5900440153413349,3.1,2236682
mobilenet,5,moderate,88,0.0001,0.6216666666666667,0.6187982368625566,3.2,2236682
mobilenet,5,moderate,314,0.0001,0.6231481481481481,0.6070668335457,3.1,2236682
mobilenet,5,severe,42,0.0001,0.58,0.5683742148094552,3.1,2236682
mobilenet,5,severe,123,0.0001,0.5711111111111111,0.5516480419375971,3.2,2236682
mobilenet,5,severe,7,0.0001,0.5731481481481482,0.5524196591526709,3.2,2236682
mobilenet,5,severe,2024,0.0001,0.580925925925926,0.5646742230751822,3.1,2236682
mobilenet,5,severe,99,0.0001,0.5874074074074074,0.573087407054172,3.2,2236682
mobilenet,5,severe,17,0.0001,0.5879629629629629,0.5744153414775873,3.2,2236682
mobilenet,5,severe,256,0.0001,0.6022222222222222,0.5932567212751351,3.1,2236682
mobilenet,5,severe,512,0.0001,0.5757407407407408,0.56531626405942,3.6,2236682
mobilenet,5,severe,88,0.0001,0.5818518518518518,0.5800625815147339,3.2,2236682
mobilenet,5,severe,314,0.0001,0.6081481481481481,0.5913266007710739,3.2,2236682
mobilenet,10,none,42,0.0001,0.6344444444444445,0.5963129731472326,3.8,2236682
mobilenet,10,none,123,0.0001,0.672037037037037,0.6500648445616836,3.7,2236682
mobilenet,10,none,7,0.0001,0.6394444444444445,0.6065301263387064,3.8,2236682
mobilenet,10,none,2024,0.0001,0.642962962962963,0.6116414477358734,3.8,2236682
mobilenet,10,none,99,0.0001,0.6285185185185185,0.6128231262224502,3.8,2236682
mobilenet,10,none,17,0.0001,0.6253703703703704,0.6002725568306242,3.7,2236682
mobilenet,10,none,256,0.0001,0.6509259259259259,0.629649855304988,3.8,2236682
mobilenet,10,none,512,0.0001,0.6505555555555556,0.6307166977380427,3.7,2236682
mobilenet,10,none,88,0.0001,0.6764814814814815,0.6576550282023209,3.8,2236682
mobilenet,10,none,314,0.0001,0.6618518518518518,0.6404361943543394,3.8,2236682
mobilenet,10,moderate,42,0.0001,0.7083333333333334,0.6938934813797456,4.8,2236682
mobilenet,10,moderate,123,0.0001,0.7033333333333334,0.6824983862012814,4.8,2236682
mobilenet,10,moderate,7,0.0001,0.7122222222222222,0.70476443432502,4.9,2236682
mobilenet,10,moderate,2024,0.0001,0.687962962962963,0.6732011323521713,4.8,2236682
mobilenet,10,moderate,99,0.0001,0.682962962962963,0.6663803481833313,4.8,2236682
mobilenet,10,moderate,17,0.0001,0.6862962962962963,0.6693033546962266,4.8,2236682
mobilenet,10,moderate,256,0.0001,0.7062962962962963,0.6822059546812941,4.9,2236682
mobilenet,10,moderate,512,0.0001,0.7129629629629629,0.7005803460126402,4.8,2236682
mobilenet,10,moderate,88,0.0001,0.6931481481481482,0.6840646782420623,4.8,2236682
mobilenet,10,moderate,314,0.0001,0.7301851851851852,0.7184184537830345,4.8,2236682
mobilenet,10,severe,42,0.0001,0.6642592592592592,0.6484421428892019,4.8,2236682
mobilenet,10,severe,123,0.0001,0.6585185185185185,0.644261830023015,4.8,2236682
mobilenet,10,severe,7,0.0001,0.6618518518518518,0.6516233258474896,4.8,2236682
mobilenet,10,severe,2024,0.0001,0.6481481481481481,0.6279401901193478,4.9,2236682
mobilenet,10,severe,99,0.0001,0.6296296296296297,0.6143200927983823,4.8,2236682
mobilenet,10,severe,17,0.0001,0.6807407407407408,0.6661503399825226,5.2,2236682
mobilenet,10,severe,256,0.0001,0.6453703703703704,0.6253991590488444,4.9,2236682
mobilenet,10,severe,512,0.0001,0.6618518518518518,0.6485007263105173,4.8,2236682
mobilenet,10,severe,88,0.0001,0.625,0.6128774265746104,4.8,2236682
mobilenet,10,severe,314,0.0001,0.67,0.6570255022510648,4.8,2236682
mobilenet,50,none,42,0.0001,0.8498148148148148,0.8409367526333833,7.2,2236682
mobilenet,50,none,123,0.0001,0.8577777777777778,0.8508757860705136,7.2,2236682
mobilenet,50,none,7,0.0001,0.8403703703703703,0.8326810178174892,7.2,2236682
mobilenet,50,none,2024,0.0001,0.8472222222222222,0.838603231512059,7.2,2236682
mobilenet,50,none,99,0.0001,0.8592592592592593,0.8533408946427621,7.2,2236682
mobilenet,50,none,17,0.0001,0.8564814814814815,0.8485415907418797,7.2,2236682
mobilenet,50,none,256,0.0001,0.8594444444444445,0.8511100408885465,7.1,2236682
mobilenet,50,none,512,0.0001,0.8507407407407407,0.8418799338522828,7.2,2236682
mobilenet,50,none,88,0.0001,0.8512962962962963,0.8462394845421752,7.2,2236682
mobilenet,50,none,314,0.0001,0.8540740740740741,0.8463743382829465,7.3,2236682
mobilenet,50,moderate,42,0.0001,0.8805555555555555,0.876549832951094,9.5,2236682
mobilenet,50,moderate,123,0.0001,0.867037037037037,0.863615978566523,9.6,2236682
mobilenet,50,moderate,7,0.0001,0.8659259259259259,0.8630688960936007,9.6,2236682
mobilenet,50,moderate,2024,0.0001,0.8679629629629629,0.8642349269610458,9.6,2236682
mobilenet,50,moderate,99,0.0001,0.8731481481481481,0.8682162464050063,9.7,2236682
mobilenet,50,moderate,17,0.0001,0.8762962962962964,0.8728600314847841,9.6,2236682
mobilenet,50,moderate,256,0.0001,0.8603703703703703,0.8557896669107251,9.5,2236682
mobilenet,50,moderate,512,0.0001,0.8687037037037038,0.8645345471524319,9.5,2236682
mobilenet,50,moderate,88,0.0001,0.8638888888888889,0.861440572319378,9.6,2236682
mobilenet,50,moderate,314,0.0001,0.8640740740740741,0.8598875253316882,9.5,2236682
mobilenet,50,severe,42,0.0001,0.8222222222222222,0.8164606971885882,9.6,2236682
mobilenet,50,severe,123,0.0001,0.8105555555555556,0.8059330952224883,9.5,2236682
mobilenet,50,severe,7,0.0001,0.8096296296296296,0.8048110735887868,9.6,2236682
mobilenet,50,severe,2024,0.0001,0.8166666666666667,0.8108917565122946,9.5,2236682
mobilenet,50,severe,99,0.0001,0.8257407407407408,0.8184310579985041,9.6,2236682
mobilenet,50,severe,17,0.0001,0.8222222222222222,0.8174219432933267,9.4,2236682
mobilenet,50,severe,256,0.0001,0.8237037037037037,0.8173586361375896,9.6,2236682
mobilenet,50,severe,512,0.0001,0.8246296296296296,0.8193684845757996,9.7,2236682
mobilenet,50,severe,88,0.0001,0.8064814814814815,0.801520375651182,9.6,2236682
mobilenet,50,severe,314,0.0001,0.8214814814814815,0.8155714246260113,9.6,2236682
mobilenet,full,none,42,0.0001,0.9777777777777777,0.9770369310161969,134.4,2236682
mobilenet,full,none,123,0.0001,0.9775925925925926,0.9771156270514865,134.5,2236682
mobilenet,full,none,7,0.0001,0.9774074074074074,0.976507665585564,134.5,2236682
mobilenet,full,none,2024,0.0001,0.9755555555555555,0.9745627738762097,134.6,2236682
mobilenet,full,none,99,0.0001,0.9762962962962963,0.9751551709264715,134.4,2236682
mobilenet,full,none,17,0.0001,0.9803703703703703,0.9796672609805424,134.7,2236682
mobilenet,full,none,256,0.0001,0.9796296296296296,0.978701731306314,134.5,2236682
mobilenet,full,none,512,0.0001,0.9735185185185186,0.9723383326189378,134.4,2236682
mobilenet,full,none,88,0.0001,0.9761111111111112,0.975355738090651,134.8,2236682
mobilenet,full,none,314,0.0001,0.9792592592592593,0.978303523399623,134.4,2236682
mobilenet,full,moderate,42,0.0001,0.9751851851851852,0.9744792398255034,183.5,2236682
mobilenet,full,moderate,123,0.0001,0.9687037037037037,0.9679720137166644,183.1,2236682
mobilenet,full,moderate,7,0.0001,0.9762962962962963,0.9756035831142913,183.6,2236682
mobilenet,full,moderate,2024,0.0001,0.9707407407407408,0.9699576071157386,183.7,2236682
mobilenet,full,moderate,99,0.0001,0.9748148148148148,0.9739651495618149,184.2,2236682
mobilenet,full,moderate,17,0.0001,0.9755555555555555,0.9750324512568589,183.5,2236682
mobilenet,full,moderate,256,0.0001,0.9755555555555555,0.975011887588952,183.1,2236682
mobilenet,full,moderate,512,0.0001,0.9757407407407407,0.9752920541713189,184.1,2236682
mobilenet,full,moderate,88,0.0001,0.9772222222222222,0.9764286210882128,183.4,2236682
mobilenet,full,moderate,314,0.0001,0.9761111111111112,0.9749314474969161,183.6,2236682
mobilenet,full,severe,42,0.0001,0.9635185185185186,0.962575536698688,184.1,2236682
mobilenet,full,severe,123,0.0001,0.960925925925926,0.96040682998515,183.3,2236682
mobilenet,full,severe,7,0.0001,0.9677777777777777,0.967351693576169,183.5,2236682
mobilenet,full,severe,2024,0.0001,0.9646296296296296,0.963803738362731,183.9,2236682
mobilenet,full,severe,99,0.0001,0.9653703703703703,0.9642689312302901,183.8,2236682
mobilenet,full,severe,17,0.0001,0.9681481481481482,0.9673890066214221,183.7,2236682
mobilenet,full,severe,256,0.0001,0.9679629629629629,0.967267309382437,184.3,2236682
mobilenet,full,severe,512,0.0001,0.9674074074074074,0.9665859197318809,183.3,2236682
mobilenet,full,severe,88,0.0001,0.9638888888888889,0.9633728249217646,184.1,2236682
mobilenet,full,severe,314,0.0001,0.965925925925926,0.9646450400846955,184.7,2236682
vit,5,none,42,0.0001,0.7625925925925926,0.7512493183063922,2.7,5526346
vit,5,none,123,0.0001,0.7290740740740741,0.7126379602466277,2.6,5526346
vit,5,none,7,0.0001,0.7475925925925926,0.7188497860657387,2.6,5526346
vit,5,none,2024,0.0001,0.7594444444444445,0.739979422150842,2.6,5526346
vit,5,none,99,0.0001,0.7466666666666667,0.7253858295738602,2.6,5526346
vit,5,none,17,0.0001,0.7653703703703704,0.752417519407946,2.6,5526346
vit,5,none,256,0.0001,0.7246296296296296,0.7017843694017663,2.6,5526346
vit,5,none,512,0.0001,0.7483333333333333,0.734465756750027,2.6,5526346
vit,5,none,88,0.0001,0.705,0.6913677426528223,2.6,5526346
vit,5,none,314,0.0001,0.712037037037037,0.6929044520919553,2.6,5526346
vit,5,moderate,42,0.0001,0.7188888888888889,0.7128189735805144,3.4,5526346
vit,5,moderate,123,0.0001,0.6888888888888889,0.6740268036002545,3.4,5526346
vit,5,moderate,7,0.0001,0.7214814814814815,0.7015117284813235,3.4,5526346
vit,5,moderate,2024,0.0001,0.7607407407407407,0.7391182731916178,3.4,5526346
vit,5,moderate,99,0.0001,0.7461111111111111,0.7319821451496813,3.4,5526346
vit,5,moderate,17,0.0001,0.7344444444444445,0.720126296437477,3.4,5526346
vit,5,moderate,256,0.0001,0.6785185185185185,0.6637626655947327,3.4,5526346
vit,5,moderate,512,0.0001,0.7281481481481481,0.7059976952284595,3.4,5526346
vit,5,moderate,88,0.0001,0.6927777777777778,0.6845642918599211,3.4,5526346
vit,5,moderate,314,0.0001,0.7138888888888889,0.6995278336525489,3.4,5526346
vit,5,severe,42,0.0001,0.6090740740740741,0.5947530548208934,3.4,5526346
vit,5,severe,123,0.0001,0.6133333333333333,0.5943550079966394,3.4,5526346
vit,5,severe,7,0.0001,0.6231481481481481,0.6066714274813171,3.4,5526346
vit,5,severe,2024,0.0001,0.6598148148148149,0.6394030459480805,3.4,5526346
vit,5,severe,99,0.0001,0.5985185185185186,0.5851949450779284,3.4,5526346
vit,5,severe,17,0.0001,0.6709259259259259,0.6598780547259009,3.4,5526346
vit,5,severe,256,0.0001,0.6290740740740741,0.6214109580304642,3.4,5526346
vit,5,severe,512,0.0001,0.6172222222222222,0.596844280985567,3.4,5526346
vit,5,severe,88,0.0001,0.6414814814814814,0.6330505667153211,3.4,5526346
vit,5,severe,314,0.0001,0.545,0.5202466379412168,3.4,5526346
vit,10,none,42,0.0001,0.8022222222222222,0.8009923613243506,4.1,5526346
vit,10,none,123,0.0001,0.8242592592592592,0.8185575233636483,4.1,5526346
vit,10,none,7,0.0001,0.8374074074074074,0.8281878347271892,4.0,5526346
vit,10,none,2024,0.0001,0.8405555555555555,0.8300344529139446,4.1,5526346
vit,10,none,99,0.0001,0.8335185185185185,0.8210326658729468,4.1,5526346
vit,10,none,17,0.0001,0.8566666666666667,0.8516111104916726,4.1,5526346
vit,10,none,256,0.0001,0.8353703703703703,0.8266818720683423,4.0,5526346
vit,10,none,512,0.0001,0.8290740740740741,0.8220450156593462,4.1,5526346
vit,10,none,88,0.0001,0.7942592592592592,0.7833102829725656,4.0,5526346
vit,10,none,314,0.0001,0.8098148148148148,0.7980756045963076,4.2,5526346
vit,10,moderate,42,0.0001,0.8107407407407408,0.8026505343658306,5.0,5526346
vit,10,moderate,123,0.0001,0.8127777777777778,0.8064635238432954,4.9,5526346
vit,10,moderate,7,0.0001,0.8144444444444444,0.8056011373914457,4.9,5526346
vit,10,moderate,2024,0.0001,0.8466666666666667,0.8376231842867521,4.9,5526346
vit,10,moderate,99,0.0001,0.8285185185185185,0.817580500033146,5.0,5526346
vit,10,moderate,17,0.0001,0.8031481481481482,0.7934559162808763,4.9,5526346
vit,10,moderate,256,0.0001,0.802962962962963,0.7942563742375761,4.9,5526346
vit,10,moderate,512,0.0001,0.7874074074074074,0.7826094181626935,4.9,5526346
vit,10,moderate,88,0.0001,0.8098148148148148,0.8031283699114636,5.1,5526346
vit,10,moderate,314,0.0001,0.8346296296296296,0.825138441057609,4.9,5526346
vit,10,severe,42,0.0001,0.6314814814814815,0.6243747450176147,4.9,5526346
vit,10,severe,123,0.0001,0.6987037037037037,0.6888173505838721,5.0,5526346
vit,10,severe,7,0.0001,0.7379629629629629,0.7288862569016141,5.0,5526346
vit,10,severe,2024,0.0001,0.682962962962963,0.6730303170264839,4.9,5526346
vit,10,severe,99,0.0001,0.675,0.6599081938347441,5.0,5526346
vit,10,severe,17,0.0001,0.7383333333333333,0.729325068775493,5.0,5526346
vit,10,severe,256,0.0001,0.6809259259259259,0.6666438311284039,4.9,5526346
vit,10,severe,512,0.0001,0.6196296296296296,0.587175697443657,5.0,5526346
vit,10,severe,88,0.0001,0.7337037037037037,0.7274972801260133,4.9,5526346
vit,10,severe,314,0.0001,0.7257407407407407,0.7128489952914701,5.0,5526346
vit,50,none,42,0.0001,0.9351851851851852,0.9326888212922061,8.0,5526346
vit,50,none,123,0.0001,0.932037037037037,0.9299574946645051,8.0,5526346
vit,50,none,7,0.0001,0.9337037037037037,0.9312012816193006,8.0,5526346
vit,50,none,2024,0.0001,0.9255555555555556,0.9227370287405477,8.0,5526346
vit,50,none,99,0.0001,0.9383333333333334,0.936091063218673,8.0,5526346
vit,50,none,17,0.0001,0.9437037037037037,0.9421399532702054,8.0,5526346
vit,50,none,256,0.0001,0.9357407407407408,0.93325158143473,8.1,5526346
vit,50,none,512,0.0001,0.94,0.9385955094842264,8.0,5526346
vit,50,none,88,0.0001,0.9218518518518518,0.919463238422814,8.0,5526346
vit,50,none,314,0.0001,0.9316666666666666,0.9303238343315806,8.0,5526346
vit,50,moderate,42,0.0001,0.9227777777777778,0.9202868094993185,9.7,5526346
vit,50,moderate,123,0.0001,0.9205555555555556,0.9183163417090604,9.7,5526346
vit,50,moderate,7,0.0001,0.9246296296296296,0.9224298903023389,9.7,5526346
vit,50,moderate,2024,0.0001,0.9233333333333333,0.920780051941896,9.7,5526346
vit,50,moderate,99,0.0001,0.9344444444444444,0.9323716694430184,9.7,5526346
vit,50,moderate,17,0.0001,0.9314814814814815,0.9293521417623041,9.7,5526346
vit,50,moderate,256,0.0001,0.9142592592592592,0.9111450695499987,9.7,5526346
vit,50,moderate,512,0.0001,0.9305555555555556,0.9285776848597485,9.6,5526346
vit,50,moderate,88,0.0001,0.9262962962962963,0.9245044693089497,9.8,5526346
vit,50,moderate,314,0.0001,0.914074074074074,0.9116019994312099,9.8,5526346
vit,50,severe,42,0.0001,0.8451851851851852,0.8430285617995119,9.7,5526346
vit,50,severe,123,0.0001,0.8759259259259259,0.8722365480122158,9.6,5526346
vit,50,severe,7,0.0001,0.8738888888888889,0.8693270555669084,9.7,5526346
vit,50,severe,2024,0.0001,0.8479629629629629,0.8432836448514731,9.7,5526346
vit,50,severe,99,0.0001,0.8827777777777778,0.8797105456976976,9.6,5526346
vit,50,severe,17,0.0001,0.7983333333333333,0.7879601937658716,9.7,5526346
vit,50,severe,256,0.0001,0.8661111111111112,0.862569907973111,9.7,5526346
vit,50,severe,512,0.0001,0.8107407407407408,0.8100257810670403,9.6,5526346
vit,50,severe,88,0.0001,0.8551851851851852,0.8464172974492634,9.7,5526346
vit,50,severe,314,0.0001,0.8661111111111112,0.8627190836608734,9.7,5526346
vit,full,none,42,0.0001,0.9748148148148148,0.9743115496453612,151.6,5526346
vit,full,none,123,0.0001,0.9803703703703703,0.979720751441327,151.7,5526346
