model,shots,degradation,seed,accuracy,f1
small_cnn,5,none,42,0.3177777777777777,0.2921769222877555
small_cnn,5,none,123,0.2572222222222222,0.2497280992505862
small_cnn,5,none,7,0.3033333333333333,0.2612216910849981
small_cnn,5,none,2024,0.2577777777777778,0.2457600035551567
small_cnn,5,none,99,0.3103703703703703,0.2693412509860034
small_cnn,5,none,17,0.3424074074074074,0.3250690607802429
small_cnn,5,none,256,0.3155555555555555,0.2863619413774388
small_cnn,5,none,512,0.3101851851851852,0.2802635517579745
small_cnn,5,none,88,0.2562962962962963,0.2494107624284141
small_cnn,5,none,314,0.2898148148148148,0.2664196520474334
small_cnn,5,moderate,42,0.2716666666666666,0.2328152019830692
small_cnn,5,moderate,123,0.2687037037037037,0.2446034045107291
small_cnn,5,moderate,7,0.3368518518518518,0.3015939889705731
small_cnn,5,moderate,2024,0.2672222222222222,0.2563924205028627
small_cnn,5,moderate,99,0.2859259259259259,0.2553701215977308
small_cnn,5,moderate,17,0.3168518518518518,0.2974663334024323
small_cnn,5,moderate,256,0.2659259259259259,0.221379192740829
small_cnn,5,moderate,512,0.2735185185185185,0.263471038142177
small_cnn,5,moderate,88,0.2446296296296296,0.2233761853738828
small_cnn,5,moderate,314,0.2788888888888889,0.232534046134988
small_cnn,5,severe,42,0.2583333333333333,0.2296406805225114
small_cnn,5,severe,123,0.2616666666666666,0.2335836103058627
small_cnn,5,severe,7,0.3251851851851852,0.3065520982195425
small_cnn,5,severe,2024,0.2683333333333333,0.2437842387987066
small_cnn,5,severe,99,0.272037037037037,0.2425688166611031
small_cnn,5,severe,17,0.3061111111111111,0.2771384400344575
small_cnn,5,severe,256,0.2742592592592592,0.2501679528095711
small_cnn,5,severe,512,0.2622222222222222,0.2536411946247245
small_cnn,5,severe,88,0.2668518518518518,0.2452109175828395
small_cnn,5,severe,314,0.287962962962963,0.2374651903788502
small_cnn,10,none,42,0.3094444444444444,0.251517150649849
small_cnn,10,none,123,0.3016666666666667,0.2729819159807792
small_cnn,10,none,7,0.3540740740740741,0.3098626784238945
small_cnn,10,none,2024,0.3683333333333333,0.3515229493975206
small_cnn,10,none,99,0.2924074074074074,0.2789396517984732
small_cnn,10,none,17,0.3675925925925926,0.3325468791818108
small_cnn,10,none,256,0.3896296296296296,0.3506180004491206
small_cnn,10,none,512,0.3424074074074074,0.3011128072514522
small_cnn,10,none,88,0.3192592592592592,0.3053929646251802
small_cnn,10,none,314,0.3648148148148148,0.3259045009461589
small_cnn,10,moderate,42,0.3385185185185185,0.3163015094391108
small_cnn,10,moderate,123,0.3783333333333333,0.3298204505163201
small_cnn,10,moderate,7,0.3581481481481481,0.3021212621104451
small_cnn,10,moderate,2024,0.3251851851851852,0.2934512723141906
small_cnn,10,moderate,99,0.302037037037037,0.2743942982380141
small_cnn,10,moderate,17,0.3512962962962963,0.3569428907407078
small_cnn,10,moderate,256,0.364074074074074,0.3304738159983171
small_cnn,10,moderate,512,0.3724074074074074,0.3245097674141418
small_cnn,10,moderate,88,0.395,0.3690141096539837
small_cnn,10,moderate,314,0.3659259259259259,0.3186148255959883
small_cnn,10,severe,42,0.3379629629629629,0.3197234498826813
small_cnn,10,severe,123,0.3409259259259259,0.2883033194278331
small_cnn,10,severe,7,0.3457407407407407,0.3002955243679751
small_cnn,10,severe,2024,0.3109259259259259,0.2631803739065008
small_cnn,10,severe,99,0.2890740740740741,0.2738688005704887
small_cnn,10,severe,17,0.3461111111111111,0.3450957798212944
small_cnn,10,severe,256,0.3481481481481481,0.3125751137826725
small_cnn,10,severe,512,0.3401851851851852,0.2986054294486535
small_cnn,10,severe,88,0.3122222222222222,0.2856193215266875
small_cnn,10,severe,314,0.3009259259259259,0.2577804078837911
small_cnn,50,none,42,0.4959259259259259,0.4844265764549245
small_cnn,50,none,123,0.5375925925925926,0.5277516112359651
small_cnn,50,none,7,0.5494444444444444,0.5334038286109298
small_cnn,50,none,2024,0.5774074074074074,0.5698074105744544
small_cnn,50,none,99,0.5472222222222223,0.5336796809668811
small_cnn,50,none,17,0.5368518518518518,0.5300193431028436
small_cnn,50,none,256,0.5611111111111111,0.535367573114376
small_cnn,50,none,512,0.5375925925925926,0.5303605681243125
small_cnn,50,none,88,0.5444444444444444,0.5342693885886332
small_cnn,50,none,314,0.5781481481481482,0.5636998562168766
small_cnn,50,moderate,42,0.5733333333333334,0.5541821283246593
small_cnn,50,moderate,123,0.5098148148148148,0.4740469825131784
small_cnn,50,moderate,7,0.5590740740740741,0.5493880746403651
small_cnn,50,moderate,2024,0.5025925925925926,0.4737678665767538
small_cnn,50,moderate,99,0.4937037037037037,0.476227446472319
small_cnn,50,moderate,17,0.5396296296296297,0.5314892041930991
small_cnn,50,moderate,256,0.5218518518518519,0.509174557299219
small_cnn,50,moderate,512,0.5444444444444444,0.5430267188284776
small_cnn,50,moderate,88,0.5424074074074074,0.5225585864235863
small_cnn,50,moderate,314,0.5653703703703704,0.5492464011560421
small_cnn,50,severe,42,0.3885185185185185,0.349467210812854
small_cnn,50,severe,123,0.519074074074074,0.5036104366365161
small_cnn,50,severe,7,0.5027777777777778,0.4861232477915677
small_cnn,50,severe,2024,0.5014814814814815,0.4967504865937859
small_cnn,50,severe,99,0.5198148148148148,0.5138981040365808
small_cnn,50,severe,17,0.5125925925925926,0.5077404739313671
small_cnn,50,severe,256,0.4725925925925926,0.465325403736625
small_cnn,50,severe,512,0.4753703703703704,0.4775995205585286
small_cnn,50,severe,88,0.5266666666666666,0.5057719102573109
small_cnn,50,severe,314,0.5338888888888889,0.5235354976004482
small_cnn,full,none,42,0.8464814814814815,0.8354726185986705
small_cnn,full,none,123,0.8335185185185185,0.8277053779310174
small_cnn,full,none,7,0.777962962962963,0.7723379979205018
small_cnn,full,none,2024,0.852037037037037,0.8463991663827783
small_cnn,full,none,99,0.8387037037037037,0.8355382539663225
small_cnn,full,none,17,0.8511111111111112,0.8477567853822079
small_cnn,full,none,256,0.8190740740740741,0.8126842814704043
small_cnn,full,none,512,0.8590740740740741,0.8543365730386355
small_cnn,full,none,88,0.8374074074074074,0.8349538794857608
small_cnn,full,none,314,0.8555555555555555,0.8484690934787574
small_cnn,full,moderate,42,0.8403703703703703,0.8354711774688963
small_cnn,full,moderate,123,0.8294444444444444,0.8228385270060542
small_cnn,full,moderate,7,0.8187037037037037,0.8120520152507211
small_cnn,full,moderate,2024,0.8157407407407408,0.8096403566122315
small_cnn,full,moderate,99,0.8272222222222222,0.8214780156982702
small_cnn,full,moderate,17,0.8155555555555556,0.8095801407633887
small_cnn,full,moderate,256,0.83,0.8232587348661762
small_cnn,full,moderate,512,0.8264814814814815,0.8215432959124238
small_cnn,full,moderate,88,0.8311111111111111,0.8254650466008162
small_cnn,full,moderate,314,0.8351851851851851,0.8278318572305438
small_cnn,full,severe,42,0.7983333333333333,0.7923828787869795
small_cnn,full,severe,123,0.7922222222222223,0.784657437759578
small_cnn,full,severe,7,0.7848148148148149,0.7728081156196615
small_cnn,full,severe,2024,0.7931481481481482,0.7867730899083683
small_cnn,full,severe,99,0.7987037037037037,0.79366193747908
small_cnn,full,severe,17,0.7962962962962963,0.7933462461417896
small_cnn,full,severe,256,0.7922222222222223,0.7848958405897031
small_cnn,full,severe,512,0.7877777777777778,0.7810197516569987
small_cnn,full,severe,88,0.812962962962963,0.8058395018297266
small_cnn,full,severe,314,0.8103703703703704,0.8044179327477913
mobilenet,5,none,42,0.5014814814814815,0.4754118036042135
mobilenet,5,none,123,0.4996296296296296,0.4587073868942693
mobilenet,5,none,7,0.4546296296296296,0.4251772712353888
mobilenet,5,none,2024,0.4827777777777777,0.4473213080174946
mobilenet,5,none,99,0.4648148148148148,0.4380699492208235
mobilenet,5,none,17,0.445,0.4090804274179217
mobilenet,5,none,256,0.5014814814814815,0.4589624072269079
mobilenet,5,none,512,0.5118518518518519,0.4762956885489132
mobilenet,5,none,88,0.5231481481481481,0.491048532958364
mobilenet,5,none,314,0.5116666666666667,0.5016998246798169
mobilenet,5,moderate,42,0.6101851851851852,0.5936867124706997
mobilenet,5,moderate,123,0.6203703703703703,0.5976451081891005
mobilenet,5,moderate,7,0.5944444444444444,0.5762314418977877
mobilenet,5,moderate,2024,0.5874074074074074,0.5729168492372153
mobilenet,5,moderate,99,0.6116666666666667,0.5905922842106833
mobilenet,5,moderate,17,0.6025925925925926,0.5802371028979457
mobilenet,5,moderate,256,0.6177777777777778,0.606003776667367
mobilenet,5,moderate,512,0.6072222222222222,0.5900440153413349
mobilenet,5,moderate,88,0.6216666666666667,0.6187982368625566
mobilenet,5,moderate,314,0.6231481481481481,0.6070668335457
mobilenet,5,severe,42,0.58,0.5683742148094552
mobilenet,5,severe,123,0.5711111111111111,0.5516480419375971
mobilenet,5,severe,7,0.5731481481481482,0.5524196591526709
mobilenet,5,severe,2024,0.580925925925926,0.5646742230751822
mobilenet,5,severe,99,0.5874074074074074,0.573087407054172
mobilenet,5,severe,17,0.5879629629629629,0.5744153414775873
