model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,5,none,none,42,0.001,0.31333333333333335,0.28812791191883635,0.4,549290
small_cnn,5,none,severe,42,0.001,0.2912962962962963,0.24601057067935678,0.4,549290
small_cnn,5,none,none,123,0.001,0.272037037037037,0.2627243522443686,0.4,549290
small_cnn,5,none,severe,123,0.001,0.205,0.19219444429318178,0.4,549290
small_cnn,5,none,none,7,0.001,0.28296296296296297,0.2358953650122241,0.4,549290
small_cnn,5,none,severe,7,0.001,0.18,0.1313537770017245,0.4,549290
small_cnn,5,none,none,2024,0.001,0.2577777777777778,0.24616937771163863,0.4,549290
small_cnn,5,none,severe,2024,0.001,0.19777777777777777,0.19433757171892935,0.4,549290
small_cnn,5,none,none,99,0.001,0.3112962962962963,0.2703475109920712,0.4,549290
small_cnn,5,none,severe,99,0.001,0.25537037037037036,0.2279432324588581,0.4,549290
small_cnn,5,severe,none,42,0.001,0.26351851851851854,0.23289819298314635,0.5,549290
small_cnn,5,severe,severe,42,0.001,0.2737037037037037,0.25400857760334217,0.5,549290
small_cnn,5,severe,none,123,0.001,0.22518518518518518,0.20225882132025622,0.5,549290
small_cnn,5,severe,severe,123,0.001,0.24925925925925926,0.22944221985754104,0.5,549290
small_cnn,5,severe,none,7,0.001,0.2948148148148148,0.27680390319934545,0.5,549290
small_cnn,5,severe,severe,7,0.001,0.31092592592592594,0.29365216278095135,0.5,549290
small_cnn,5,severe,none,2024,0.001,0.25722222222222224,0.22898426080625245,0.5,549290
small_cnn,5,severe,severe,2024,0.001,0.2587037037037037,0.23751389222923808,0.5,549290
small_cnn,5,severe,none,99,0.001,0.2707407407407407,0.23865523214270476,0.5,549290
small_cnn,5,severe,severe,99,0.001,0.2772222222222222,0.2490372654616885,0.5,549290
small_cnn,full,none,none,42,0.001,0.822962962962963,0.8118485752627536,22.0,549290
small_cnn,full,none,severe,42,0.001,0.21296296296296297,0.1665454144478777,22.0,549290
small_cnn,full,none,none,123,0.001,0.8533333333333334,0.8481800423641683,22.3,549290
small_cnn,full,none,severe,123,0.001,0.21462962962962964,0.1554438412201316,22.3,549290
small_cnn,full,none,none,7,0.001,0.7931481481481482,0.784660212967448,22.5,549290
small_cnn,full,none,severe,7,0.001,0.2707407407407407,0.1787654566506111,22.5,549290
small_cnn,full,none,none,2024,0.001,0.840925925925926,0.8337851389309939,22.2,549290
small_cnn,full,none,severe,2024,0.001,0.25425925925925924,0.2180591084460533,22.2,549290
small_cnn,full,none,none,99,0.001,0.8294444444444444,0.8237831311985155,22.5,549290
small_cnn,full,none,severe,99,0.001,0.275,0.23330672500456803,22.5,549290
small_cnn,full,severe,none,42,0.001,0.6209259259259259,0.5965331357555611,30.9,549290
small_cnn,full,severe,severe,42,0.001,0.822962962962963,0.817446991506493,30.9,549290
small_cnn,full,severe,none,123,0.001,0.6501851851851852,0.6354284165759465,30.8,549290
small_cnn,full,severe,severe,123,0.001,0.8075925925925926,0.8006644336418821,30.8,549290
small_cnn,full,severe,none,7,0.001,0.6161111111111112,0.5994154544195066,30.5,549290
small_cnn,full,severe,severe,7,0.001,0.785,0.7711359844338463,30.5,549290
small_cnn,full,severe,none,2024,0.001,0.6216666666666667,0.602507891022098,31.0,549290
small_cnn,full,severe,severe,2024,0.001,0.7862962962962963,0.7798758785212208,31.0,549290
small_cnn,full,severe,none,99,0.001,0.6838888888888889,0.6739629182096261,31.0,549290
small_cnn,full,severe,severe,99,0.001,0.807037037037037,0.800903607377878,31.0,549290
mobilenet,5,none,none,42,0.0001,0.5018518518518519,0.4754360057902919,2.4,2236682
mobilenet,5,none,severe,42,0.0001,0.10851851851851851,0.022220893337216885,2.4,2236682
mobilenet,5,none,none,123,0.0001,0.4962962962962963,0.45581328814464567,2.4,2236682
mobilenet,5,none,severe,123,0.0001,0.10888888888888888,0.01963927855711423,2.4,2236682
mobilenet,5,none,none,7,0.0001,0.4525925925925926,0.4226729014816553,2.4,2236682
mobilenet,5,none,severe,7,0.0001,0.046296296296296294,0.016423415888205412,2.4,2236682
mobilenet,5,none,none,2024,0.0001,0.4816666666666667,0.445454937434614,2.4,2236682
mobilenet,5,none,severe,2024,0.0001,0.10888888888888888,0.019662263835479015,2.4,2236682
mobilenet,5,none,none,99,0.0001,0.4661111111111111,0.4388781769686781,2.4,2236682
mobilenet,5,none,severe,99,0.0001,0.10888888888888888,0.01964584029401938,2.4,2236682
mobilenet,5,severe,none,42,0.0001,0.11259259259259259,0.02683026240405837,3.1,2236682
mobilenet,5,severe,severe,42,0.0001,0.5772222222222222,0.5657084161971425,3.1,2236682
mobilenet,5,severe,none,123,0.0001,0.17925925925925926,0.11441507131513846,3.2,2236682
mobilenet,5,severe,severe,123,0.0001,0.5751851851851851,0.5549496084294325,3.2,2236682
